nr,name,type
1,DEC1,power
2,P0.00,io
3,P0.01,io
4,P0.02,io
5,P0.03,io
6,P0.04,io
7,P0.05,io
8,P0.06,io
9,P0.07,io
10,P0.08,io
11,P0.09,io
12,P0.10,io
13,VDD,power
14,P0.11,io
15,P0.12,io
16,P0.13,io
17,P0.14,io
18,P0.15,io
19,P0.16,io
20,P0.17,io
21,P0.18,io
22,P0.19,io
23,P0.20,io
24,P0.21,io
25,SWDCLK,io
26,SWDIO,io
27,P0.22,io
28,P0.23,io
29,P0.24,io
30,ANT,input
31,VSS,power
32,DEC2,power
33,DEC3,power
34,XC1,input
35,XC2,output
36,VDD,power
37,P0.25,io
38,P0.26,io
39,P0.27,io
40,P0.28,io
41,P0.29,io
42,P0.30,io
43,P0.31,io
44,NC,io
45,VSS,power
46,DEC4,power
47,DCC,input
48,VDD,power
